Field,Value
cluster_name,selab-var-204
cluster_guid,127db70c-0197-5f4f-8af8-44bead61cda2
cluster_version,5.3.1.1.10603406698381149702
cluster_state,ONLINE
cluster_psnt,selab-var-204
cluster_uptime,Unknown
cluster_build,Unknown
cluster_license,Unknown
