Usable Capacity (TB),Free Usable Capacity (TB),DRR Text,Physical Space (TB),Physical Space In Use (TB),Free Physical Space (TB),Physical Space In Use %,Logical Space (TB),Logical Space In Use (TB),Free Logical Space (TB),Logical Space In Use %
,,,,,,,,,,
